model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.329012_12.944139,2023-10-01,0.52688426,0.5286355
BiLSTM+Attention,val,77.329012_12.962105,2023-10-01,0.69757694,0.68442535
BiLSTM+Attention,val,77.337995_12.921681,2023-10-01,0.64715296,0.63910043
BiLSTM+Attention,val,77.342486_12.926172,2023-10-01,0.68555945,0.667261
BiLSTM+Attention,val,77.342486_12.935155,2023-10-01,0.70658594,0.7165783
BiLSTM+Attention,val,77.342486_12.944139,2023-10-01,0.6750065,0.6745075
BiLSTM+Attention,val,77.346978_12.86329,2023-10-01,0.57277626,0.58384216
BiLSTM+Attention,val,77.346978_12.962105,2023-10-01,0.53435403,0.53706956
BiLSTM+Attention,val,77.351469_12.89024,2023-10-01,0.5474742,0.5526882
BiLSTM+Attention,val,77.351469_12.930664,2023-10-01,0.7104706,0.70753485
BiLSTM+Attention,val,77.351469_12.939647,2023-10-01,0.6910957,0.68501204
BiLSTM+Attention,val,77.355961_12.899223,2023-10-01,0.56234396,0.56783646
BiLSTM+Attention,val,77.355961_12.94863,2023-10-01,0.5020662,0.5139829
BiLSTM+Attention,val,77.355961_12.962105,2023-10-01,0.70771664,0.7026604
BiLSTM+Attention,val,77.360453_12.867782,2023-10-01,0.4609214,0.4764264
BiLSTM+Attention,val,77.360453_12.908206,2023-10-01,0.5828083,0.58839774
BiLSTM+Attention,val,77.360453_12.926172,2023-10-01,0.70649713,0.69636005
BiLSTM+Attention,val,77.364944_12.854307,2023-10-01,0.5025861,0.5236989
BiLSTM+Attention,val,77.364944_12.962105,2023-10-01,0.49104595,0.5010937
BiLSTM+Attention,val,77.369436_12.881256,2023-10-01,0.5034735,0.515019
BiLSTM+Attention,val,77.369436_12.89024,2023-10-01,0.50120527,0.5109921
BiLSTM+Attention,val,77.369436_12.935155,2023-10-01,0.46420854,0.469092
BiLSTM+Attention,val,77.369436_12.998037,2023-10-01,0.500736,0.5111515
BiLSTM+Attention,val,77.369436_13.007021,2023-10-01,0.54570127,0.54598445
BiLSTM+Attention,val,77.373927_12.912697,2023-10-01,0.6045957,0.6071672
BiLSTM+Attention,val,77.373927_12.971088,2023-10-01,0.4845034,0.4872108
BiLSTM+Attention,val,77.373927_13.011512,2023-10-01,0.49624735,0.51360464
BiLSTM+Attention,val,77.373927_13.016004,2023-10-01,0.48054734,0.50218797
BiLSTM+Attention,val,77.378419_12.966596,2023-10-01,0.45988742,0.4529667
BiLSTM+Attention,val,77.382911_12.894731,2023-10-01,0.5446692,0.56382453
BiLSTM+Attention,val,77.382911_12.953122,2023-10-01,0.5196265,0.5298545
BiLSTM+Attention,val,77.382911_12.957613,2023-10-01,0.5142554,0.5204007
BiLSTM+Attention,val,77.387402_12.962105,2023-10-01,0.50509834,0.5019622
BiLSTM+Attention,val,77.387402_12.97558,2023-10-01,0.5059745,0.51315564
BiLSTM+Attention,val,77.387402_12.980071,2023-10-01,0.50849503,0.5167493
BiLSTM+Attention,val,77.391894_12.867782,2023-10-01,0.544304,0.5535872
BiLSTM+Attention,val,77.391894_12.881256,2023-10-01,0.51116395,0.5118523
BiLSTM+Attention,val,77.391894_12.885748,2023-10-01,0.543327,0.5468236
BiLSTM+Attention,val,77.396385_12.894731,2023-10-01,0.5463483,0.5593293
BiLSTM+Attention,val,77.396385_12.908206,2023-10-01,0.50473,0.5094495
BiLSTM+Attention,val,77.396385_12.944139,2023-10-01,0.55231553,0.55236167
BiLSTM+Attention,val,77.396385_12.971088,2023-10-01,0.47593728,0.48511112
BiLSTM+Attention,val,77.396385_12.97558,2023-10-01,0.45205724,0.45974052
BiLSTM+Attention,val,77.396385_13.029478,2023-10-01,0.38488892,0.39937344
BiLSTM+Attention,val,77.400877_12.957613,2023-10-01,0.5198046,0.51712656
BiLSTM+Attention,val,77.400877_12.966596,2023-10-01,0.47278893,0.48465884
BiLSTM+Attention,val,77.400877_13.029478,2023-10-01,0.3725496,0.38891864
BiLSTM+Attention,val,77.405368_12.881256,2023-10-01,0.4719709,0.49231067
BiLSTM+Attention,val,77.405368_12.89024,2023-10-01,0.49483392,0.50498724
BiLSTM+Attention,val,77.405368_12.903714,2023-10-01,0.46807933,0.4808627
BiLSTM+Attention,val,77.405368_12.930664,2023-10-01,0.59367985,0.59330744
BiLSTM+Attention,val,77.405368_12.998037,2023-10-01,0.493515,0.5039518
BiLSTM+Attention,val,77.405368_13.105835,2023-10-01,0.41586718,0.4374122
BiLSTM+Attention,val,77.405368_13.11931,2023-10-01,0.3782258,0.3928373
BiLSTM+Attention,val,77.40986_12.872273,2023-10-01,0.4373971,0.4503287
BiLSTM+Attention,val,77.40986_12.881256,2023-10-01,0.4394341,0.45653266
BiLSTM+Attention,val,77.40986_12.962105,2023-10-01,0.52908945,0.5463878
BiLSTM+Attention,val,77.414352_12.930664,2023-10-01,0.54253125,0.5380894
BiLSTM+Attention,val,77.414352_12.989054,2023-10-01,0.46012488,0.4598078
BiLSTM+Attention,val,77.414352_12.993546,2023-10-01,0.46778056,0.46825933
BiLSTM+Attention,val,77.414352_13.03397,2023-10-01,0.43777236,0.44282183
BiLSTM+Attention,val,77.414352_13.096852,2023-10-01,0.4052665,0.4171542
BiLSTM+Attention,val,77.414352_13.11931,2023-10-01,0.40148816,0.41206908
BiLSTM+Attention,val,77.418843_12.876765,2023-10-01,0.4540717,0.46689016
BiLSTM+Attention,val,77.418843_12.89024,2023-10-01,0.48226425,0.48735428
BiLSTM+Attention,val,77.418843_12.94863,2023-10-01,0.53544074,0.536515
BiLSTM+Attention,val,77.418843_12.971088,2023-10-01,0.49821687,0.5033924
BiLSTM+Attention,val,77.418843_12.993546,2023-10-01,0.49952826,0.4922955
BiLSTM+Attention,val,77.418843_13.016004,2023-10-01,0.4644296,0.46166122
BiLSTM+Attention,val,77.418843_13.024987,2023-10-01,0.45556128,0.4711905
BiLSTM+Attention,val,77.418843_13.029478,2023-10-01,0.45509228,0.46689087
BiLSTM+Attention,val,77.418843_13.146259,2023-10-01,0.36653677,0.38010675
BiLSTM+Attention,val,77.423335_12.876765,2023-10-01,0.45584992,0.4541318
BiLSTM+Attention,val,77.423335_12.921681,2023-10-01,0.5498063,0.54861635
BiLSTM+Attention,val,77.423335_12.930664,2023-10-01,0.5324907,0.5364292
BiLSTM+Attention,val,77.423335_13.002529,2023-10-01,0.5476149,0.55339414
BiLSTM+Attention,val,77.423335_13.092361,2023-10-01,0.34222862,0.35476464
BiLSTM+Attention,val,77.423335_13.141768,2023-10-01,0.42531708,0.44521284
BiLSTM+Attention,val,77.423335_13.150751,2023-10-01,0.3752922,0.38781735
BiLSTM+Attention,val,77.427826_12.845324,2023-10-01,0.3978338,0.4245388
BiLSTM+Attention,val,77.427826_12.858799,2023-10-01,0.45055047,0.450109
BiLSTM+Attention,val,77.427826_12.930664,2023-10-01,0.5399763,0.5443644
