model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.329012_12.944139,2023-08-01,0.521234,0.53859293
BiLSTM+Attention,val,77.329012_12.962105,2023-08-01,0.69192666,0.7138687
BiLSTM+Attention,val,77.337995_12.921681,2023-08-01,0.65086555,0.66075546
BiLSTM+Attention,val,77.342486_12.926172,2023-08-01,0.6892721,0.70743376
BiLSTM+Attention,val,77.342486_12.935155,2023-08-01,0.7000552,0.74211746
BiLSTM+Attention,val,77.342486_12.944139,2023-08-01,0.6693562,0.69872546
BiLSTM+Attention,val,77.346978_12.86329,2023-08-01,0.5598878,0.584677
BiLSTM+Attention,val,77.346978_12.962105,2023-08-01,0.5287038,0.54001176
BiLSTM+Attention,val,77.351469_12.89024,2023-08-01,0.5345858,0.5733695
BiLSTM+Attention,val,77.351469_12.930664,2023-08-01,0.70393986,0.734316
BiLSTM+Attention,val,77.351469_12.939647,2023-08-01,0.68456495,0.712402
BiLSTM+Attention,val,77.355961_12.899223,2023-08-01,0.5494555,0.5629143
BiLSTM+Attention,val,77.355961_12.94863,2023-08-01,0.49553537,0.5049778
BiLSTM+Attention,val,77.355961_12.962105,2023-08-01,0.70206636,0.7318301
BiLSTM+Attention,val,77.360453_12.867782,2023-08-01,0.44803298,0.49000624
BiLSTM+Attention,val,77.360453_12.908206,2023-08-01,0.5732602,0.5962584
BiLSTM+Attention,val,77.360453_12.926172,2023-08-01,0.6999663,0.7281581
BiLSTM+Attention,val,77.364944_12.854307,2023-08-01,0.48969772,0.5195859
BiLSTM+Attention,val,77.364944_12.962105,2023-08-01,0.48539567,0.4865841
BiLSTM+Attention,val,77.369436_12.881256,2023-08-01,0.49058512,0.51954687
BiLSTM+Attention,val,77.369436_12.89024,2023-08-01,0.5099016,0.50251144
BiLSTM+Attention,val,77.369436_12.935155,2023-08-01,0.45767775,0.46070403
BiLSTM+Attention,val,77.369436_12.998037,2023-08-01,0.49508572,0.50096095
BiLSTM+Attention,val,77.369436_13.007021,2023-08-01,0.54005104,0.5465428
BiLSTM+Attention,val,77.373927_12.912697,2023-08-01,0.6083084,0.61506176
BiLSTM+Attention,val,77.373927_12.971088,2023-08-01,0.47885314,0.47713265
BiLSTM+Attention,val,77.373927_13.011512,2023-08-01,0.48957762,0.5109401
BiLSTM+Attention,val,77.373927_13.016004,2023-08-01,0.4738776,0.4991956
BiLSTM+Attention,val,77.378419_12.966596,2023-08-01,0.45423716,0.4508867
BiLSTM+Attention,val,77.382911_12.894731,2023-08-01,0.5518112,0.5591034
BiLSTM+Attention,val,77.382911_12.953122,2023-08-01,0.5139762,0.51507235
BiLSTM+Attention,val,77.382911_12.957613,2023-08-01,0.5086051,0.510465
BiLSTM+Attention,val,77.387402_12.962105,2023-08-01,0.4994481,0.49743006
BiLSTM+Attention,val,77.387402_12.97558,2023-08-01,0.5003242,0.50010884
BiLSTM+Attention,val,77.387402_12.980071,2023-08-01,0.5028448,0.50702167
BiLSTM+Attention,val,77.391894_12.867782,2023-08-01,0.5314156,0.5604281
BiLSTM+Attention,val,77.391894_12.881256,2023-08-01,0.49827555,0.5273029
BiLSTM+Attention,val,77.391894_12.885748,2023-08-01,0.53043854,0.55679226
BiLSTM+Attention,val,77.396385_12.894731,2023-08-01,0.5334599,0.5457923
BiLSTM+Attention,val,77.396385_12.908206,2023-08-01,0.49184155,0.50273484
BiLSTM+Attention,val,77.396385_12.944139,2023-08-01,0.54666525,0.55234015
BiLSTM+Attention,val,77.396385_12.971088,2023-08-01,0.47028702,0.47344083
BiLSTM+Attention,val,77.396385_12.97558,2023-08-01,0.446407,0.45399365
BiLSTM+Attention,val,77.396385_13.029478,2023-08-01,0.3782192,0.40105042
BiLSTM+Attention,val,77.400877_12.957613,2023-08-01,0.5141543,0.5216813
BiLSTM+Attention,val,77.400877_12.966596,2023-08-01,0.46713868,0.4700145
BiLSTM+Attention,val,77.400877_13.029478,2023-08-01,0.3658799,0.39434302
BiLSTM+Attention,val,77.405368_12.881256,2023-08-01,0.45908248,0.47898856
BiLSTM+Attention,val,77.405368_12.89024,2023-08-01,0.4819455,0.49510363
BiLSTM+Attention,val,77.405368_12.903714,2023-08-01,0.45519093,0.47482818
BiLSTM+Attention,val,77.405368_12.930664,2023-08-01,0.58802956,0.6020995
BiLSTM+Attention,val,77.405368_12.998037,2023-08-01,0.48786476,0.50118905
BiLSTM+Attention,val,77.405368_13.105835,2023-08-01,0.40846303,0.42288625
BiLSTM+Attention,val,77.405368_13.11931,2023-08-01,0.37019697,0.3978839
BiLSTM+Attention,val,77.40986_12.872273,2023-08-01,0.4245087,0.4452503
BiLSTM+Attention,val,77.40986_12.881256,2023-08-01,0.4265457,0.44379184
BiLSTM+Attention,val,77.40986_12.962105,2023-08-01,0.5234392,0.5352167
BiLSTM+Attention,val,77.414352_12.930664,2023-08-01,0.5328826,0.5333172
BiLSTM+Attention,val,77.414352_12.989054,2023-08-01,0.4504762,0.4612066
