model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.477234_13.002529,2023-09-01,0.40355065,0.4178515
BiLSTM+Attention,val,77.477234_13.056428,2023-09-01,0.45843902,0.46561986
BiLSTM+Attention,val,77.481725_12.737526,2023-09-01,0.59335756,0.5937916
BiLSTM+Attention,val,77.481725_12.768967,2023-09-01,0.576875,0.5867449
BiLSTM+Attention,val,77.481725_12.831849,2023-09-01,0.52053726,0.49729002
BiLSTM+Attention,val,77.481725_12.89024,2023-09-01,0.5687736,0.54504466
BiLSTM+Attention,val,77.481725_12.894731,2023-09-01,0.5359459,0.50870675
BiLSTM+Attention,val,77.481725_12.944139,2023-09-01,0.54330194,0.5394147
BiLSTM+Attention,val,77.481725_12.971088,2023-09-01,0.42487535,0.42918423
BiLSTM+Attention,val,77.481725_12.980071,2023-09-01,0.47812068,0.48471904
BiLSTM+Attention,val,77.481725_13.024987,2023-09-01,0.45717832,0.45985585
BiLSTM+Attention,val,77.481725_13.03397,2023-09-01,0.4342509,0.44442764
BiLSTM+Attention,val,77.481725_13.096852,2023-09-01,0.56571925,0.5506499
BiLSTM+Attention,val,77.481725_13.137276,2023-09-01,0.6429469,0.64003193
BiLSTM+Attention,val,77.486217_12.764475,2023-09-01,0.5717774,0.5701069
BiLSTM+Attention,val,77.486217_12.872273,2023-09-01,0.49647644,0.50535494
BiLSTM+Attention,val,77.486217_12.939647,2023-09-01,0.55877197,0.55823696
BiLSTM+Attention,val,77.486217_12.998037,2023-09-01,0.45097902,0.46452218
BiLSTM+Attention,val,77.486217_13.042953,2023-09-01,0.53052807,0.51524043
BiLSTM+Attention,val,77.486217_13.06092,2023-09-01,0.52307874,0.5423571
BiLSTM+Attention,val,77.486217_13.114818,2023-09-01,0.45587134,0.4631427
BiLSTM+Attention,val,77.486217_13.11931,2023-09-01,0.4731462,0.48058432
BiLSTM+Attention,val,77.490708_12.768967,2023-09-01,0.56353176,0.5693631
BiLSTM+Attention,val,77.490708_12.8049,2023-09-01,0.5415907,0.5507742
BiLSTM+Attention,val,77.490708_12.849815,2023-09-01,0.5668572,0.58675504
BiLSTM+Attention,val,77.490708_12.89024,2023-09-01,0.5278208,0.5019687
BiLSTM+Attention,val,77.490708_13.051936,2023-09-01,0.5714928,0.58363676
BiLSTM+Attention,val,77.490708_13.087869,2023-09-01,0.5125339,0.52553463
BiLSTM+Attention,val,77.490708_13.092361,2023-09-01,0.50801206,0.5178708
BiLSTM+Attention,val,77.490708_13.096852,2023-09-01,0.53808576,0.5503115
BiLSTM+Attention,val,77.490708_13.182192,2023-09-01,0.5551698,0.5637577
BiLSTM+Attention,val,77.490708_13.209142,2023-09-01,0.5115678,0.51816404
BiLSTM+Attention,val,77.4952_12.786933,2023-09-01,0.52383745,0.5376712
BiLSTM+Attention,val,77.4952_12.836341,2023-09-01,0.5232796,0.52941686
BiLSTM+Attention,val,77.4952_12.899223,2023-09-01,0.5475578,0.54832786
BiLSTM+Attention,val,77.4952_12.962105,2023-09-01,0.54327315,0.54691595
BiLSTM+Attention,val,77.4952_13.020495,2023-09-01,0.49960852,0.5075681
BiLSTM+Attention,val,77.4952_13.024987,2023-09-01,0.48923278,0.49932718
BiLSTM+Attention,val,77.4952_13.03397,2023-09-01,0.5424567,0.55540216
BiLSTM+Attention,val,77.4952_13.087869,2023-09-01,0.48679715,0.4963221
BiLSTM+Attention,val,77.4952_13.092361,2023-09-01,0.5132458,0.5252006
BiLSTM+Attention,val,77.4952_13.182192,2023-09-01,0.5547249,0.5679203
BiLSTM+Attention,val,77.499692_12.755492,2023-09-01,0.6618884,0.63053775
BiLSTM+Attention,val,77.499692_12.858799,2023-09-01,0.61434823,0.6176943
BiLSTM+Attention,val,77.499692_12.899223,2023-09-01,0.5295526,0.532474
BiLSTM+Attention,val,77.499692_12.984563,2023-09-01,0.4931342,0.5014408
BiLSTM+Attention,val,77.499692_13.114818,2023-09-01,0.47503465,0.48181206
