model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.329012_12.944139,2023-09-01,0.5240591,0.5240476
BiLSTM+Attention,val,77.329012_12.962105,2023-09-01,0.6947518,0.7093763
BiLSTM+Attention,val,77.337995_12.921681,2023-09-01,0.6490093,0.6519441
BiLSTM+Attention,val,77.342486_12.926172,2023-09-01,0.6874158,0.70451236
BiLSTM+Attention,val,77.342486_12.935155,2023-09-01,0.70332056,0.7321751
BiLSTM+Attention,val,77.342486_12.944139,2023-09-01,0.69550115,0.68667114
BiLSTM+Attention,val,77.346978_12.86329,2023-09-01,0.59536886,0.5704836
BiLSTM+Attention,val,77.346978_12.962105,2023-09-01,0.5548487,0.52279973
BiLSTM+Attention,val,77.351469_12.89024,2023-09-01,0.54103,0.53684586
BiLSTM+Attention,val,77.351469_12.930664,2023-09-01,0.70720524,0.71619487
BiLSTM+Attention,val,77.351469_12.939647,2023-09-01,0.6878303,0.69062495
BiLSTM+Attention,val,77.355961_12.899223,2023-09-01,0.55589974,0.55277705
BiLSTM+Attention,val,77.355961_12.94863,2023-09-01,0.49880078,0.49545074
BiLSTM+Attention,val,77.355961_12.962105,2023-09-01,0.7282113,0.7273836
BiLSTM+Attention,val,77.360453_12.867782,2023-09-01,0.48351398,0.45870316
BiLSTM+Attention,val,77.360453_12.908206,2023-09-01,0.5780343,0.58454347
BiLSTM+Attention,val,77.360453_12.926172,2023-09-01,0.70323175,0.7220942
BiLSTM+Attention,val,77.364944_12.854307,2023-09-01,0.52517873,0.50357056
BiLSTM+Attention,val,77.364944_12.962105,2023-09-01,0.5115406,0.4791296
BiLSTM+Attention,val,77.369436_12.881256,2023-09-01,0.5260661,0.49994874
BiLSTM+Attention,val,77.369436_12.89024,2023-09-01,0.52379787,0.4975941
BiLSTM+Attention,val,77.369436_12.935155,2023-09-01,0.46094313,0.44615635
BiLSTM+Attention,val,77.369436_12.998037,2023-09-01,0.49791086,0.4913916
BiLSTM+Attention,val,77.369436_13.007021,2023-09-01,0.5428762,0.5488238
BiLSTM+Attention,val,77.373927_12.912697,2023-09-01,0.60645205,0.5981451
BiLSTM+Attention,val,77.373927_12.971088,2023-09-01,0.504998,0.47882986
BiLSTM+Attention,val,77.373927_13.011512,2023-09-01,0.49291247,0.5030957
BiLSTM+Attention,val,77.373927_13.016004,2023-09-01,0.47721246,0.4865107
BiLSTM+Attention,val,77.378419_12.966596,2023-09-01,0.45706227,0.4451614
BiLSTM+Attention,val,77.382911_12.894731,2023-09-01,0.5482402,0.5453458
BiLSTM+Attention,val,77.382911_12.953122,2023-09-01,0.51680136,0.5081647
BiLSTM+Attention,val,77.382911_12.957613,2023-09-01,0.51143026,0.5018142
BiLSTM+Attention,val,77.387402_12.962105,2023-09-01,0.5022732,0.4923995
BiLSTM+Attention,val,77.387402_12.97558,2023-09-01,0.50314933,0.49340367
BiLSTM+Attention,val,77.387402_12.980071,2023-09-01,0.50566995,0.4980001
BiLSTM+Attention,val,77.391894_12.867782,2023-09-01,0.5378598,0.54214084
BiLSTM+Attention,val,77.391894_12.881256,2023-09-01,0.53375655,0.499004
BiLSTM+Attention,val,77.391894_12.885748,2023-09-01,0.53688276,0.5376097
BiLSTM+Attention,val,77.396385_12.894731,2023-09-01,0.5689409,0.5412046
BiLSTM+Attention,val,77.396385_12.908206,2023-09-01,0.49828577,0.49977243
BiLSTM+Attention,val,77.396385_12.944139,2023-09-01,0.5728102,0.5539397
BiLSTM+Attention,val,77.396385_12.971088,2023-09-01,0.47311217,0.46595776
BiLSTM+Attention,val,77.396385_12.97558,2023-09-01,0.47255188,0.45504546
BiLSTM+Attention,val,77.396385_13.029478,2023-09-01,0.4073999,0.38693175
BiLSTM+Attention,val,77.400877_12.957613,2023-09-01,0.51697946,0.52785176
BiLSTM+Attention,val,77.400877_12.966596,2023-09-01,0.4932836,0.4587986
BiLSTM+Attention,val,77.400877_13.029478,2023-09-01,0.3950606,0.3769441
BiLSTM+Attention,val,77.405368_12.881256,2023-09-01,0.46552667,0.46398532
BiLSTM+Attention,val,77.405368_12.89024,2023-09-01,0.48838973,0.4858844
BiLSTM+Attention,val,77.405368_12.903714,2023-09-01,0.46163514,0.46380395
BiLSTM+Attention,val,77.405368_12.930664,2023-09-01,0.5908547,0.5926065
BiLSTM+Attention,val,77.405368_12.998037,2023-09-01,0.51400965,0.49936587
BiLSTM+Attention,val,77.405368_13.105835,2023-09-01,0.4121651,0.4182362
BiLSTM+Attention,val,77.405368_13.11931,2023-09-01,0.37421137,0.38786924
BiLSTM+Attention,val,77.40986_12.872273,2023-09-01,0.4599897,0.4270547
BiLSTM+Attention,val,77.40986_12.881256,2023-09-01,0.4620267,0.42990237
BiLSTM+Attention,val,77.40986_12.962105,2023-09-01,0.54958415,0.5282147
BiLSTM+Attention,val,77.414352_12.930664,2023-09-01,0.5377069,0.53814363
BiLSTM+Attention,val,77.414352_12.989054,2023-09-01,0.47938007,0.45413116
BiLSTM+Attention,val,77.414352_12.993546,2023-09-01,0.48703575,0.46863258
BiLSTM+Attention,val,77.414352_13.03397,2023-09-01,0.45870936,0.43988445
BiLSTM+Attention,val,77.414352_13.096852,2023-09-01,0.4262035,0.4009256
BiLSTM+Attention,val,77.414352_13.11931,2023-09-01,0.3963478,0.4058321
BiLSTM+Attention,val,77.418843_12.876765,2023-09-01,0.4473423,0.4441242
BiLSTM+Attention,val,77.418843_12.89024,2023-09-01,0.4755349,0.46921414
BiLSTM+Attention,val,77.418843_12.94863,2023-09-01,0.53061634,0.5260645
BiLSTM+Attention,val,77.418843_12.971088,2023-09-01,0.517472,0.479977
BiLSTM+Attention,val,77.418843_12.993546,2023-09-01,0.51878345,0.50851285
BiLSTM+Attention,val,77.418843_13.016004,2023-09-01,0.48536658,0.45712438
BiLSTM+Attention,val,77.418843_13.024987,2023-09-01,0.4508138,0.4491008
BiLSTM+Attention,val,77.418843_13.029478,2023-09-01,0.45034477,0.45140016
BiLSTM+Attention,val,77.418843_13.146259,2023-09-01,0.36139643,0.36950815
BiLSTM+Attention,val,77.423335_12.876765,2023-09-01,0.44912055,0.45695615
BiLSTM+Attention,val,77.423335_12.921681,2023-09-01,0.54498196,0.5422563
BiLSTM+Attention,val,77.423335_12.930664,2023-09-01,0.5276663,0.52304125
BiLSTM+Attention,val,77.423335_13.002529,2023-09-01,0.56687003,0.54313433
BiLSTM+Attention,val,77.423335_13.092361,2023-09-01,0.3631656,0.34771663
BiLSTM+Attention,val,77.423335_13.141768,2023-09-01,0.42017674,0.42310578
BiLSTM+Attention,val,77.423335_13.150751,2023-09-01,0.37015185,0.37684458
BiLSTM+Attention,val,77.427826_12.845324,2023-09-01,0.39110443,0.3987291
BiLSTM+Attention,val,77.427826_12.858799,2023-09-01,0.44382107,0.43790457
BiLSTM+Attention,val,77.427826_12.930664,2023-09-01,0.53515196,0.52532077
BiLSTM+Attention,val,77.427826_12.939647,2023-09-01,0.48256227,0.47718844
BiLSTM+Attention,val,77.427826_12.944139,2023-09-01,0.49594522,0.49449807
BiLSTM+Attention,val,77.427826_13.020495,2023-09-01,0.46134964,0.4592438
BiLSTM+Attention,val,77.427826_13.024987,2023-09-01,0.45223847,0.4484803
BiLSTM+Attention,val,77.427826_13.110327,2023-09-01,0.44603127,0.41758248
BiLSTM+Attention,val,77.427826_13.132785,2023-09-01,0.47311616,0.4740322
BiLSTM+Attention,val,77.432318_12.858799,2023-09-01,0.45841405,0.4551109
BiLSTM+Attention,val,77.432318_12.86329,2023-09-01,0.46453562,0.45452234
BiLSTM+Attention,val,77.432318_12.867782,2023-09-01,0.45619348,0.45268485
BiLSTM+Attention,val,77.432318_12.881256,2023-09-01,0.4989223,0.49777123
BiLSTM+Attention,val,77.432318_12.885748,2023-09-01,0.58900654,0.5917561
BiLSTM+Attention,val,77.432318_12.957613,2023-09-01,0.48247266,0.48308533
BiLSTM+Attention,val,77.432318_12.998037,2023-09-01,0.43764246,0.4153883
BiLSTM+Attention,val,77.432318_13.087869,2023-09-01,0.4222999,0.42798296
BiLSTM+Attention,val,77.432318_13.092361,2023-09-01,0.4043591,0.38301486
BiLSTM+Attention,val,77.436809_12.818374,2023-09-01,0.58876765,0.5949695
BiLSTM+Attention,val,77.436809_12.840832,2023-09-01,0.50583476,0.4982868
BiLSTM+Attention,val,77.436809_12.854307,2023-09-01,0.5009709,0.4753039
BiLSTM+Attention,val,77.436809_12.912697,2023-09-01,0.6041209,0.5955795
BiLSTM+Attention,val,77.436809_12.926172,2023-09-01,0.5370499,0.5332673
BiLSTM+Attention,val,77.436809_12.944139,2023-09-01,0.50323606,0.5006796
BiLSTM+Attention,val,77.436809_13.03397,2023-09-01,0.4352949,0.4401706
BiLSTM+Attention,val,77.441301_12.818374,2023-09-01,0.6261959,0.5945533
BiLSTM+Attention,val,77.441301_12.831849,2023-09-01,0.51954,0.48041087
BiLSTM+Attention,val,77.441301_12.836341,2023-09-01,0.5195086,0.51458144
BiLSTM+Attention,val,77.441301_12.840832,2023-09-01,0.49282432,0.47981215
BiLSTM+Attention,val,77.441301_12.944139,2023-09-01,0.5405964,0.53670114
BiLSTM+Attention,val,77.441301_12.94863,2023-09-01,0.4946038,0.48912135
BiLSTM+Attention,val,77.441301_13.056428,2023-09-01,0.4244566,0.43670958
BiLSTM+Attention,val,77.441301_13.069903,2023-09-01,0.44121096,0.44853634
BiLSTM+Attention,val,77.441301_13.083377,2023-09-01,0.45369872,0.43321556
BiLSTM+Attention,val,77.441301_13.110327,2023-09-01,0.44142398,0.40820816
BiLSTM+Attention,val,77.445793_12.840832,2023-09-01,0.5944242,0.559873
BiLSTM+Attention,val,77.445793_12.86329,2023-09-01,0.6098787,0.5782208
BiLSTM+Attention,val,77.445793_12.867782,2023-09-01,0.5891024,0.55515236
BiLSTM+Attention,val,77.445793_12.912697,2023-09-01,0.5104064,0.5022906
BiLSTM+Attention,val,77.445793_12.957613,2023-09-01,0.48311073,0.48299488
BiLSTM+Attention,val,77.445793_12.984563,2023-09-01,0.50109446,0.5042202
BiLSTM+Attention,val,77.450284_12.809391,2023-09-01,0.5451797,0.5596002
BiLSTM+Attention,val,77.450284_12.872273,2023-09-01,0.5886008,0.5675681
BiLSTM+Attention,val,77.450284_12.89024,2023-09-01,0.56167907,0.5660067
BiLSTM+Attention,val,77.450284_12.971088,2023-09-01,0.4946729,0.47895557
BiLSTM+Attention,val,77.450284_12.993546,2023-09-01,0.40646937,0.38332742
BiLSTM+Attention,val,77.450284_13.029478,2023-09-01,0.44840533,0.4314802
BiLSTM+Attention,val,77.450284_13.047445,2023-09-01,0.43526444,0.4404856
BiLSTM+Attention,val,77.450284_13.146259,2023-09-01,0.48790818,0.49298888
BiLSTM+Attention,val,77.454776_12.809391,2023-09-01,0.5101369,0.5189033
BiLSTM+Attention,val,77.454776_12.885748,2023-09-01,0.54300535,0.55076945
BiLSTM+Attention,val,77.454776_12.980071,2023-09-01,0.42259985,0.4298165
BiLSTM+Attention,val,77.454776_12.993546,2023-09-01,0.4323404,0.411302
BiLSTM+Attention,val,77.454776_13.078886,2023-09-01,0.4340492,0.44659856
BiLSTM+Attention,val,77.454776_13.087869,2023-09-01,0.42344004,0.41532314
BiLSTM+Attention,val,77.454776_13.114818,2023-09-01,0.47446224,0.47971535
BiLSTM+Attention,val,77.454776_13.141768,2023-09-01,0.49129254,0.49591854
BiLSTM+Attention,val,77.459267_12.8049,2023-09-01,0.57909983,0.5807471
BiLSTM+Attention,val,77.459267_12.822866,2023-09-01,0.5785079,0.5463459
BiLSTM+Attention,val,77.459267_12.845324,2023-09-01,0.55341125,0.5461787
BiLSTM+Attention,val,77.459267_12.872273,2023-09-01,0.5599182,0.5375179
BiLSTM+Attention,val,77.459267_12.903714,2023-09-01,0.5132892,0.48881024
BiLSTM+Attention,val,77.459267_12.926172,2023-09-01,0.5316728,0.53351355
BiLSTM+Attention,val,77.459267_12.97558,2023-09-01,0.4373301,0.44943774
BiLSTM+Attention,val,77.459267_13.016004,2023-09-01,0.42379156,0.4061118
BiLSTM+Attention,val,77.459267_13.020495,2023-09-01,0.4173477,0.3979314
BiLSTM+Attention,val,77.459267_13.11931,2023-09-01,0.47132337,0.47399506
BiLSTM+Attention,val,77.463759_12.813883,2023-09-01,0.52284014,0.49256396
BiLSTM+Attention,val,77.463759_12.836341,2023-09-01,0.5504071,0.5420682
BiLSTM+Attention,val,77.463759_12.86329,2023-09-01,0.5962432,0.57877713
BiLSTM+Attention,val,77.463759_12.867782,2023-09-01,0.54927766,0.56702197
BiLSTM+Attention,val,77.463759_12.872273,2023-09-01,0.5250586,0.53193396
BiLSTM+Attention,val,77.463759_12.881256,2023-09-01,0.5783922,0.58894354
BiLSTM+Attention,val,77.463759_12.885748,2023-09-01,0.6094612,0.58231837
BiLSTM+Attention,val,77.463759_12.894731,2023-09-01,0.5490696,0.53379697
BiLSTM+Attention,val,77.463759_12.899223,2023-09-01,0.55167687,0.52606183
BiLSTM+Attention,val,77.463759_12.917189,2023-09-01,0.48005584,0.48199153
BiLSTM+Attention,val,77.463759_12.953122,2023-09-01,0.75836384,0.7498952
BiLSTM+Attention,val,77.463759_13.03397,2023-09-01,0.39057332,0.3958345
BiLSTM+Attention,val,77.463759_13.078886,2023-09-01,0.5025178,0.5068947
BiLSTM+Attention,val,77.46825_12.827358,2023-09-01,0.4919332,0.44767234
BiLSTM+Attention,val,77.46825_12.836341,2023-09-01,0.5577963,0.55389947
BiLSTM+Attention,val,77.46825_12.894731,2023-09-01,0.5292115,0.50589776
BiLSTM+Attention,val,77.46825_12.94863,2023-09-01,0.5739305,0.57296413
BiLSTM+Attention,val,77.46825_12.953122,2023-09-01,0.53342307,0.5082493
BiLSTM+Attention,val,77.46825_12.966596,2023-09-01,0.51149243,0.49569944
BiLSTM+Attention,val,77.46825_13.007021,2023-09-01,0.43206927,0.40913337
BiLSTM+Attention,val,77.46825_13.020495,2023-09-01,0.47579366,0.48810315
BiLSTM+Attention,val,77.46825_13.114818,2023-09-01,0.5154069,0.5128831
BiLSTM+Attention,val,77.46825_13.150751,2023-09-01,0.45418987,0.42578992
