site_id,sequence_start_date,anchor_date,reference_date,target_date
77.427826_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_13.020495,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_13.024987,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_13.110327,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_13.132785,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.858799,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.86329,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.885748,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.957613,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_12.998037,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.432318_13.092361,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.818374,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.840832,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.854307,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.912697,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.926172,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.436809_13.03397,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.818374,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.831849,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.840832,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_12.94863,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_13.056428,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_13.069903,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_13.083377,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.441301_13.110327,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.840832,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.86329,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.912697,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.957613,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.445793_12.984563,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_12.809391,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_12.993546,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_13.029478,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_13.047445,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.450284_13.146259,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_12.809391,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_12.885748,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_12.980071,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_12.993546,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_13.078886,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_13.087869,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.454776_13.141768,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.8049,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.822866,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.903714,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.926172,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_12.97558,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_13.016004,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_13.020495,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.459267_13.11931,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.813883,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.86329,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.885748,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.917189,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_12.953122,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_13.03397,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.463759_13.078886,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.827358,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.94863,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.953122,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_12.966596,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_13.007021,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_13.020495,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_13.114818,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_13.150751,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.46825_13.1777,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_12.746509,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_12.751001,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_12.755492,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_12.795916,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.472742_12.836341,2019-01-01,2019-12-01,2020-01-01,2020-04-01
