date,longitude,latitude,Nitrogen,pH,NDVI,SoilMoisture,Clay,FertilityIndex,FertilityClass
2021-01-01,77.54460727996758,13.218124680154517,19.4,6.4,0.2881605,0.19970173,20.8,0.4027706559305764,Medium
2021-01-01,77.49070836292043,13.20914152731332,17.5,6.4,0.40924948,0.19537513,22.4,0.4195406329268635,Medium
2021-01-01,77.52214939786461,13.200158374472124,18.8,6.4,0.281929,0.19970173,23.2,0.41013781576120356,Medium
2021-01-01,77.50418309218219,13.195666798051526,16.9,6.4,0.32247597,0.20057148,23.8,0.4021883990979565,Medium
2021-01-01,77.53113255070576,13.195666798051526,19.6,6.4,0.2826751,0.20572796,22.8,0.41894473092284246,Medium
2021-01-01,77.53562412712637,13.195666798051526,17.5,6.4,0.29150498,0.20572796,22.3,0.39331135857199745,Low
2021-01-01,77.5086746686028,13.191175221630928,17.1,6.4,0.36567673,0.20572796,22.8,0.4101666074060755,Medium
2021-01-01,77.517657821444,13.191175221630928,17.3,6.4,0.17952716,0.20572796,23.0,0.36812488477035493,Low
2021-01-01,77.517657821444,13.186683645210337,18.1,6.5,0.20845419,0.20572796,22.7,0.4075689858278895,Medium
2021-01-01,77.49070836292043,13.182192068789739,17.7,6.5,0.33275303,0.20057148,23.3,0.4357295426193447,Medium
2021-01-01,77.49519993934098,13.182192068789739,18.1,6.5,0.3383887,0.20057148,23.0,0.43979103339912545,Medium
2021-01-01,77.517657821444,13.182192068789739,17.8,6.5,0.26073536,0.20572796,21.2,0.40697137803360195,Medium
2021-01-01,77.54011570354697,13.182192068789739,18.4,6.3,0.28910556,0.20572796,21.3,0.3715954258186906,Low
2021-01-01,77.56706516207055,13.182192068789739,20.0,6.4,0.25250417,0.20572796,21.4,0.4069311509299545,Medium
2021-01-01,77.61198092627654,13.182192068789739,17.4,6.3,0.30418193,0.21393523,21.6,0.368268175457982,Low
2021-01-01,77.62545565553836,13.182192068789739,18.9,6.3,0.47805914,0.21393523,21.5,0.4277844328836161,Medium
2021-01-01,77.4682504808174,13.17770049236914,18.7,6.6,0.27660665,0.20057148,22.9,0.40595874871206955,Medium
2021-01-01,77.5131662450234,13.17770049236914,17.2,6.5,0.24303356,0.20572796,23.2,0.40887364234238804,Medium
2021-01-01,77.5580820092294,13.17770049236914,18.6,6.5,0.22902521,0.20572796,20.3,0.4025559102008972,Medium
2021-01-01,77.61647250269715,13.17770049236914,17.5,6.3,0.49937075,0.21393523,21.5,0.41668977293087717,Medium
2021-01-01,77.62994723195891,13.17770049236914,18.4,6.5,0.24340378,0.21393523,20.7,0.4090490519032661,Medium
2021-01-01,77.63893038480012,13.17770049236914,18.8,6.4,0.52394587,0.21393523,20.6,0.45692290040360634,Medium
2021-01-01,77.69732087826787,13.17770049236914,21.3,6.5,0.375406,0.21393523,20.9,0.4765985395040485,Medium
2021-01-01,77.55359043280879,13.173208915948543,18.7,6.3,0.28700963,0.20572796,19.3,0.3613343969104707,Low
2021-01-01,77.56257358564994,13.173208915948543,19.6,6.5,0.18615633,0.20572796,20.1,0.40236916511465587,Medium
2021-01-01,77.65689669048254,13.173208915948543,17.5,6.4,0.47048008,0.21393523,21.5,0.4345972891294908,Medium
2021-01-01,77.6658798433237,13.173208915948543,17.3,6.5,0.31230873,0.21393523,20.4,0.411150054813499,Medium
2021-01-01,77.71079560752969,13.173208915948543,19.6,6.5,0.32030836,0.22067076,20.6,0.4434326207960088,Medium
2021-01-01,77.49969151576158,13.168717339527944,18.2,6.5,0.2856607,0.20057148,24.6,0.4386088372851719,Medium
2021-01-01,77.55359043280879,13.168717339527944,19.9,6.4,0.2831889,0.20572796,20.8,0.40932437485990414,Medium
2021-01-01,77.5580820092294,13.168717339527944,20.1,6.4,0.21562986,0.20572796,20.7,0.3944091512255442,Low
2021-01-01,77.61198092627654,13.168717339527944,18.4,6.4,0.26182985,0.21393523,19.2,0.37863876520524875,Low
2021-01-01,77.64791353764133,13.168717339527944,35.3,6.4,0.2807889,0.21393523,20.0,0.5856756580406165,Medium
2021-01-01,77.71079560752969,13.168717339527944,20.5,6.6,0.16199334,0.22067076,21.0,0.3927118795413012,Low
2021-01-01,77.60299777343533,13.164225763107346,20.2,6.3,0.32627356,0.21393523,19.8,0.39442406770736643,Low
