Rain_log,Temp,LST,SoilMoisture,NDVI_log,green_fraction_boxcox,Clay,Silt_log,Nitrogen_log,pH,BulkDensity,Elevation,Slope_log,AOD_log,NO2_log,SO2_log,Month_Sin,Month_Cos,longitude,latitude
0.0,21.103994951966055,31.350000000000023,0.1289109,0.21699821133311817,-13.659622527010027,21.2,3.072693314690119,2.970414465569701,6.5,1.36,785,1.1745571964315917,0.38378739059526745,4.088262458106778,3.6954114078987,0.49999999999999994,0.8660254037844387,77.32901161177887,12.944138518498065
0.0,20.765329902402755,29.975000000000023,0.1289109,0.27439237431292274,-10.303848359165213,21.2,3.11794990627824,3.417726683613366,6.4,1.33,807,1.3712418889518767,0.3913286201052712,4.064777198901044,4.730276612890572,0.49999999999999994,0.8660254037844387,77.32901161177887,12.96210482418045
0.0,21.103994951966055,30.135000000000048,0.1289109,0.2262031380017059,-10.967556568241163,20.9,3.034952986707272,3.214867803470662,6.5,1.33,797,2.110856387396839,0.4200676475877742,4.158617934241453,2.8066569724095705,0.49999999999999994,0.8660254037844387,77.33799476462008,12.921680636395074
0.0,21.103994951966055,30.500000000000057,0.1289109,0.12881527168808662,-11.528531318375554,22.2,3.034952986707272,3.3843902633457743,6.4,1.29,916,2.1186299225796663,0.4167347003663952,4.205646318176777,0.0,0.49999999999999994,0.8660254037844387,77.34248634104068,12.926172212815672
0.0,21.103994951966055,30.710000000000036,0.1289109,0.20401456938802937,-10.802817439957078,21.8,3.0349529867072724,3.3357695763397,6.5,1.3,853,2.1627828223057115,0.40941562785251484,4.181422389044552,0.0,0.49999999999999994,0.8660254037844387,77.34248634104068,12.935155365656868
0.0,21.103994951966055,31.090000000000032,0.1289109,0.2159022281041487,-12.99729646940112,21.6,3.049273040482021,3.242592351485517,6.5,1.31,830,1.77052585656051,0.4009813870267165,4.137626297213995,3.4025601952487925,0.49999999999999994,0.8660254037844387,77.34248634104068,12.944138518498065
1.864652363854389,21.103994951966055,30.53000000000003,0.12755226,0.20499130363208123,-13.117535160719084,18.3,3.0301337002713233,3.1441522786722644,6.5,1.32,807,0.6299834473016344,0.3913849650112371,4.209999744002365,4.185516545201812,0.49999999999999994,0.8660254037844387,77.34697791746129,12.863290142927305
0.0,20.765329902402755,30.015000000000043,0.1289109,0.20713375572952905,-10.866862591855336,19.5,3.034952986707272,3.086486636822455,6.6,1.36,800,0.8091535722520112,0.38790837794851063,4.1123858023425175,4.957893890110839,0.49999999999999994,0.8660254037844387,77.34697791746129,12.96210482418045
0.0,21.220828054284596,30.57000000000005,0.12755226,0.07900289032773306,-9.900415722268137,19.2,2.928523523860541,3.126760535960395,6.5,1.33,831,1.3171298766939954,0.4222129654093871,4.223395901391495,3.6336072880995207,0.49999999999999994,0.8660254037844387,77.3514694938819,12.890239601450894
0.0,21.220828054284596,30.535000000000025,0.1289109,0.0770358901867201,-10.116383759413024,21.7,3.0540011816779664,3.391147045808654,6.5,1.32,848,1.812568224194926,0.4276179127492977,4.210308215536225,2.002742013395567,0.49999999999999994,0.8660254037844387,77.3514694938819,12.93066378923627
