date,longitude,latitude,Year,Month_Actual
2019-01-01,77.32901161177887,12.944138518498065,2019,1
2019-01-01,77.32901161177887,12.96210482418045,2019,1
2019-01-01,77.33799476462008,12.921680636395074,2019,1
2019-01-01,77.34248634104068,12.926172212815672,2019,1
2019-01-01,77.34248634104068,12.935155365656868,2019,1
2019-01-01,77.34248634104068,12.944138518498065,2019,1
2019-01-01,77.34697791746129,12.863290142927305,2019,1
2019-01-01,77.34697791746129,12.96210482418045,2019,1
2019-01-01,77.3514694938819,12.890239601450894,2019,1
2019-01-01,77.3514694938819,12.93066378923627,2019,1
2019-01-01,77.3514694938819,12.939646942077466,2019,1
2019-01-01,77.3559610703025,12.89922275429209,2019,1
2019-01-01,77.3559610703025,12.948630094918663,2019,1
2019-01-01,77.3559610703025,12.96210482418045,2019,1
2019-01-01,77.3604526467231,12.867781719347903,2019,1
2019-01-01,77.3604526467231,12.90820590713328,2019,1
2019-01-01,77.3604526467231,12.926172212815672,2019,1
2019-01-01,77.36494422314365,12.854306990086108,2019,1
2019-01-01,77.36494422314365,12.96210482418045,2019,1
2019-01-01,77.36943579956426,12.881256448609697,2019,1
2019-01-01,77.36943579956426,12.890239601450894,2019,1
2019-01-01,77.36943579956426,12.935155365656868,2019,1
2019-01-01,77.36943579956426,12.998037435545235,2019,1
2019-01-01,77.36943579956426,13.007020588386432,2019,1
2019-01-01,77.37392737598486,12.912697483553877,2019,1
2019-01-01,77.37392737598486,12.971087977021647,2019,1
2019-01-01,77.37392737598486,13.01151216480703,2019,1
2019-01-01,77.37392737598486,13.016003741227628,2019,1
2019-01-01,77.37841895240547,12.966596400601048,2019,1
2019-01-01,77.38291052882607,12.894731177871492,2019,1
2019-01-01,77.38291052882607,12.953121671339261,2019,1
2019-01-01,77.38291052882607,12.95761324775986,2019,1
2019-01-01,77.38740210524668,12.96210482418045,2019,1
2019-01-01,77.38740210524668,12.975579553442245,2019,1
2019-01-01,77.38740210524668,12.980071129862843,2019,1
2019-01-01,77.39189368166728,12.867781719347903,2019,1
2019-01-01,77.39189368166728,12.881256448609697,2019,1
2019-01-01,77.39189368166728,12.885748025030296,2019,1
2019-01-01,77.39638525808783,12.894731177871492,2019,1
2019-01-01,77.39638525808783,12.90820590713328,2019,1
2019-01-01,77.39638525808783,12.944138518498065,2019,1
2019-01-01,77.39638525808783,12.971087977021647,2019,1
2019-01-01,77.39638525808783,12.975579553442245,2019,1
2019-01-01,77.39638525808783,13.029478470489416,2019,1
2019-01-01,77.40087683450844,12.95761324775986,2019,1
2019-01-01,77.40087683450844,12.966596400601048,2019,1
2019-01-01,77.40087683450844,13.029478470489416,2019,1
2019-01-01,77.40536841092904,12.881256448609697,2019,1
2019-01-01,77.40536841092904,12.890239601450894,2019,1
2019-01-01,77.40536841092904,12.903714330712688,2019,1
2019-01-01,77.40536841092904,12.93066378923627,2019,1
2019-01-01,77.40536841092904,12.998037435545235,2019,1
2019-01-01,77.40536841092904,13.105835269639577,2019,1
2019-01-01,77.40536841092904,13.119309998901372,2019,1
2019-01-01,77.40985998734965,12.872273295768501,2019,1
2019-01-01,77.40985998734965,12.881256448609697,2019,1
2019-01-01,77.40985998734965,12.96210482418045,2019,1
2019-01-01,77.41435156377025,12.93066378923627,2019,1
2019-01-01,77.41435156377025,12.98905428270404,2019,1
2019-01-01,77.41435156377025,12.993545859124637,2019,1
2019-01-01,77.41435156377025,13.033970046910014,2019,1
2019-01-01,77.41435156377025,13.096852116798381,2019,1
2019-01-01,77.41435156377025,13.119309998901372,2019,1
2019-01-01,77.41884314019086,12.8767648721891,2019,1
2019-01-01,77.41884314019086,12.890239601450894,2019,1
2019-01-01,77.41884314019086,12.948630094918663,2019,1
2019-01-01,77.41884314019086,12.971087977021647,2019,1
2019-01-01,77.41884314019086,12.993545859124637,2019,1
2019-01-01,77.41884314019086,13.016003741227628,2019,1
2019-01-01,77.41884314019086,13.024986894068817,2019,1
2019-01-01,77.41884314019086,13.029478470489416,2019,1
2019-01-01,77.41884314019086,13.146259457424954,2019,1
2019-01-01,77.42333471661146,12.8767648721891,2019,1
2019-01-01,77.42333471661146,12.921680636395074,2019,1
2019-01-01,77.42333471661146,12.93066378923627,2019,1
2019-01-01,77.42333471661146,13.002529011965834,2019,1
2019-01-01,77.42333471661146,13.092360540377783,2019,1
2019-01-01,77.42333471661146,13.141767881004355,2019,1
2019-01-01,77.42333471661146,13.150751033845552,2019,1
2019-01-01,77.42782629303201,12.84532383724492,2019,1
2019-01-01,77.42782629303201,12.858798566506707,2019,1
2019-01-01,77.42782629303201,12.93066378923627,2019,1
2019-01-01,77.42782629303201,12.939646942077466,2019,1
2019-01-01,77.42782629303201,12.944138518498065,2019,1
2019-01-01,77.42782629303201,13.02049531764822,2019,1
2019-01-01,77.42782629303201,13.024986894068817,2019,1
2019-01-01,77.42782629303201,13.110326846060175,2019,1
2019-01-01,77.42782629303201,13.132784728163166,2019,1
2019-01-01,77.43231786945262,12.858798566506707,2019,1
2019-01-01,77.43231786945262,12.863290142927305,2019,1
2019-01-01,77.43231786945262,12.867781719347903,2019,1
2019-01-01,77.43231786945262,12.881256448609697,2019,1
2019-01-01,77.43231786945262,12.885748025030296,2019,1
2019-01-01,77.43231786945262,12.95761324775986,2019,1
2019-01-01,77.43231786945262,12.998037435545235,2019,1
2019-01-01,77.43231786945262,13.087868963957185,2019,1
2019-01-01,77.43231786945262,13.092360540377783,2019,1
2019-01-01,77.43680944587322,12.81837437872133,2019,1
2019-01-01,77.43680944587322,12.840832260824321,2019,1
2019-01-01,77.43680944587322,12.854306990086108,2019,1
2019-01-01,77.43680944587322,12.912697483553877,2019,1
2019-01-01,77.43680944587322,12.926172212815672,2019,1
2019-01-01,77.43680944587322,12.944138518498065,2019,1
2019-01-01,77.43680944587322,13.033970046910014,2019,1
2019-01-01,77.44130102229383,12.81837437872133,2019,1
2019-01-01,77.44130102229383,12.831849107983125,2019,1
2019-01-01,77.44130102229383,12.836340684403723,2019,1
2019-01-01,77.44130102229383,12.840832260824321,2019,1
2019-01-01,77.44130102229383,12.944138518498065,2019,1
2019-01-01,77.44130102229383,12.948630094918663,2019,1
