Rain_log,Temp,LST,SoilMoisture,NDVI,green_fraction_boxcox,Clay,Nitrogen_log,pH,BulkDensity,Elevation,Slope_log,AOD_log,NO2_log,SO2,Month_Sin,Month_Cos,longitude,latitude
2.5896493632371027,21.14283954251198,28.17500000000001,0.20544371,0.30065274,-27.906478428774598,21.2,2.970414465569701,6.5,1.36,785,1.1044089086740845,0.3729781633895775,3.816801471015034,6.719319336076255e-05,0.49999999999999994,0.8660254037844387,77.32901161177887,12.944138518498065
2.4040264243903,20.9572952926801,26.70500000000004,0.20544371,0.27304402,-27.19812498409308,21.2,3.2916614945938485,6.4,1.33,807,1.1044089086740845,0.3831437559303597,3.772082764372898,9.82896188399246e-05,0.49999999999999994,0.8660254037844387,77.32901161177887,12.96210482418045
2.5896493632371027,21.14283954251198,28.375000000000057,0.20544371,0.2912318,-25.891847279563137,20.9,3.214867803470662,6.5,1.33,797,1.1044089086740845,0.3835402304308835,3.8195834989443465,-5.616399913787248e-06,0.49999999999999994,0.8660254037844387,77.33799476462008,12.921680636395074
2.5896493632371027,21.14283954251198,28.170000000000016,0.20544371,0.2460791,-25.93676095984847,22.2,3.2916614945938485,6.4,1.29,916,1.1044089086740845,0.3888839529607482,3.8452986198137444,7.792809408683038e-08,0.49999999999999994,0.8660254037844387,77.34248634104068,12.926172212815672
2.5896493632371027,21.14283954251198,27.825000000000045,0.20544371,0.3779538,-17.34207893589538,21.8,3.2916614945938485,6.5,1.3,853,1.1044089086740845,0.3833988681412542,3.8669976080007777,-4.296726777565847e-05,0.49999999999999994,0.8660254037844387,77.34248634104068,12.935155365656868
2.5896493632371027,21.14283954251198,27.390000000000043,0.20544371,0.2576711,-27.610983810940237,21.6,3.242592351485517,6.5,1.31,830,1.1044089086740845,0.37919718128755414,3.861402396511629,-5.362573733115086e-05,0.49999999999999994,0.8660254037844387,77.34248634104068,12.944138518498065
2.9104550532915785,21.14283954251198,27.450000000000045,0.20329419,0.23712297,-38.19531218532438,18.3,3.1441522786722644,6.5,1.32,807,0.6299834473016344,0.3900412134876059,3.8426976380543225,0.00017393030494066623,0.49999999999999994,0.8660254037844387,77.34697791746129,12.863290142927305
2.4040264243903,20.9572952926801,26.32000000000005,0.20544371,0.32000834,-21.1677050679292,19.5,3.086486636822455,6.6,1.36,800,0.8091535722520112,0.3886579897917831,3.8648510960075635,0.00013544499320893212,0.49999999999999994,0.8660254037844387,77.34697791746129,12.96210482418045
1.7118882327268847,21.19387805897702,28.163333333333355,0.20329419,0.089082465,-35.55052443545018,19.2,3.126760535960395,6.5,1.33,831,1.1044089086740845,0.4245412551689783,3.9403239171314195,0.0001440440393033204,0.49999999999999994,0.8660254037844387,77.3514694938819,12.890239601450894
1.6082519054793438,21.19387805897702,27.970000000000027,0.20544371,0.09515506,-35.27732827804558,21.7,3.2916614945938485,6.5,1.32,848,1.1044089086740845,0.42336455890506486,3.9168940968153394,-4.1724699933183314e-05,0.49999999999999994,0.8660254037844387,77.3514694938819,12.93066378923627
1.6082519054793438,21.19387805897702,27.54000000000002,0.20544371,0.21098442,-32.58484434112725,21.1,3.2916614945938485,6.5,1.32,848,1.1044089086740845,0.3962858524491157,3.9168940968153394,-4.1724699933183314e-05,0.49999999999999994,0.8660254037844387,77.3514694938819,12.939646942077466
1.7118882327268847,21.19387805897702,28.996666666666727,0.20329419,0.24703217,-30.583774050945646,20.1,3.095577608523707,6.5,1.35,802,0.391192855658863,0.4081282255276481,3.9403239171314195,0.0001440440393033204,0.49999999999999994,0.8660254037844387,77.3559610703025,12.89922275429209
1.6082519054793438,21.19387805897702,27.61666666666673,0.20544371,0.31558007,-20.186197389922217,20.3,2.9652730660692823,6.5,1.34,814,0.9340586238330253,0.38767822561045645,3.9310040461040585,-2.961718004781003e-05,0.49999999999999994,0.8660254037844387,77.3559610703025,12.948630094918663
1.9090982058944388,21.07391838155769,26.715000000000032,0.20544371,0.34343955,-24.364578409152248,21.3,3.2916614945938485,6.5,1.28,813,1.1044089086740845,0.39251494893253613,3.907647971423949,0.00021570761069601536,0.49999999999999994,0.8660254037844387,77.3559610703025,12.96210482418045
1.7118882327268847,21.19387805897702,29.123333333333335,0.20329419,0.26270202,-23.43426090722914,18.2,2.9231615807191558,6.5,1.36,786,1.0908514511241465,0.4211594863467509,3.905252398390534,0.0001594807455179981,0.49999999999999994,0.8660254037844387,77.3604526467231,12.867781719347903
1.6082519054793438,21.19387805897702,28.430000000000007,0.20329419,0.24712539,-17.284272930106326,20.8,3.1135153092103742,6.5,1.35,819,0.6693403842684448,0.40945712937770185,3.973062692460878,7.383014221705849e-05,0.49999999999999994,0.8660254037844387,77.3604526467231,12.90820590713328
1.6082519054793438,21.19387805897702,28.975000000000023,0.20544371,0.24962114,-25.230734587897178,21.3,3.2916614945938485,6.5,1.32,828,0.8454640227915657,0.4273417078034732,3.974127598574634,4.741420627314354e-05,0.49999999999999994,0.8660254037844387,77.3604526467231,12.926172212815672
1.7118882327268847,21.19387805897702,28.79000000000002,0.20329419,0.29772723,-21.72684523104265,20.3,2.9391619220655967,6.5,1.37,773,0.7979611919114933,0.3983091302810274,3.8937822819704184,0.00018143323219649277,0.49999999999999994,0.8660254037844387,77.36494422314365,12.854306990086108
1.9090982058944388,21.07391838155769,27.30000000000001,0.20544371,0.35296905,-20.594796390641072,20.6,2.970414465569701,6.4,1.36,823,0.9102091565262815,0.4001880510073206,3.913132477980454,0.0002855214976596121,0.49999999999999994,0.8660254037844387,77.36494422314365,12.96210482418045
1.7118882327268847,21.19387805897702,29.450000000000045,0.20329419,0.12639038,-53.13735419793825,20.5,2.9652730660692823,6.5,1.36,801,1.0412722936374121,0.4490242228600438,3.95395091239117,4.550874100046952e-05,0.49999999999999994,0.8660254037844387,77.36943579956426,12.881256448609697
1.7118882327268847,21.19387805897702,29.403333333333364,0.20329419,0.29806,-25.941188698492727,20.9,2.9338568698359038,6.5,1.35,793,0.7128759816016224,0.4452975222461331,3.9809921037862535,0.00012613475037240933,0.49999999999999994,0.8660254037844387,77.36943579956426,12.890239601450894
1.6082519054793438,21.19387805897702,28.91666666666669,0.20544371,0.3026883,-25.8845188565783,21.2,2.8622008809294686,6.5,1.36,856,0.19292255050758397,0.41742835003177575,3.9466247849119256,1.9378144039511445e-06,0.49999999999999994,0.8660254037844387,77.36943579956426,12.935155365656868
1.9090982058944388,21.07391838155769,28.380000000000052,0.20544371,0.30519745,-30.84511707337683,21.3,2.9014215940827497,6.5,1.38,815,0.7154007234757911,0.4042362832366047,3.808556855529646,0.0002000849030819908,0.49999999999999994,0.8660254037844387,77.36943579956426,12.998037435545235
2.4237561916781334,21.07391838155769,28.69500000000005,0.20544371,0.35589844,-18.298169829824616,21.0,2.9856819377004897,6.5,1.38,819,0.16422825576688807,0.405750781585325,3.8501594364306015,0.00011226564609796937,0.49999999999999994,0.8660254037844387,77.36943579956426,13.007020588386432
1.6082519054793438,21.19387805897702,30.236666666666736,0.20544371,0.19632001,-44.81373183351315,20.6,3.1179499062782403,6.5,1.35,813,1.0240804266857872,0.4272628389952999,3.9861769700335947,3.1015730667580348e-06,0.49999999999999994,0.8660254037844387,77.37392737598486,12.912697483553877
1.9090982058944388,21.07391838155769,27.630000000000052,0.20544371,0.24536105,-32.65860863989871,20.3,2.990719731730447,6.4,1.35,853,0.7938637196315442,0.4020045819337185,3.9459037273264044,0.00021936643405541528,0.49999999999999994,0.8660254037844387,77.37392737598486,12.971087977021647
2.4237561916781334,21.07391838155769,29.54000000000002,0.19295956,0.2879715,-28.128661246523773,21.0,2.928523523860541,6.5,1.38,837,0.8667668606074876,0.40782897863010154,3.947511052884271,8.418674656673474e-05,0.49999999999999994,0.8660254037844387,77.37392737598486,13.01151216480703
